English,Mathematics,Geography,Hindi,Marathi,Physics,Chemistry,Biology,Thriller,Comedy - Drama,Rom -Com,Anime,Science fantasy,Dark Comedy,Suspense,Fiction,Detective Fiction,True Crime,Politics,Action
Mathematics,History,Economics,Geography,French,Physics,Chemistry,Thriller,Science fantasy,Suspense,Fiction,Detective Fiction,True Crime,Politics,Action,,,,,
English,Mathematics,Biology,Comedy - Drama,Rom -Com,Science fantasy,Suspense,Fiction,Detective Fiction,,,,,,,,,,,
English,Mathematics,Physics,Thriller,Comedy - Drama,Anime,Science fantasy,Suspense,Detective Fiction,,,,,,,,,,,
Mathematics,Physics,Comedy - Drama,Science fantasy,Suspense,Detective Fiction,True Crime,Action,,,,,,,,,,,,
Physics,Chemistry,Biology,Thriller,Science fantasy,Detective Fiction,,,,,,,,,,,,,,
Mathematics,Physics,Biology,Thriller,Anime,Science fantasy,Suspense,Detective Fiction,True Crime,Politics,Action,,,,,,,,,
Mathematics,Marathi,Chemistry,Thriller,Comedy - Drama,Action,,,,,,,,,,,,,,
Mathematics,Economics,Physics,Comedy - Drama,Anime,Science fantasy,Dark Comedy,,,,,,,,,,,,,
English,Mathematics,Hindi,Physics,Thriller,Science fantasy,Dark Comedy,Suspense,Fiction,Detective Fiction,,,,,,,,,,
Mathematics,Comedy - Drama,,,,,,,,,,,,,,,,,,
English,History,Economics,Political Science,Geography,Thriller,Comedy - Drama,Rom -Com,Science fantasy,Dark Comedy,Suspense,Fiction,Detective Fiction,True Crime,Politics,Action,,,,
English,German,Biology,Thriller,Rom -Com,Science fantasy,Detective Fiction,True Crime,,,,,,,,,,,,
Economics,Political Science,Geography,Thriller,Comedy - Drama,Dark Comedy,Fiction,Politics,,,,,,,,,,,,
English,Mathematics,History,Economics,Political Science,Geography,Hindi,Marathi,Biology,Thriller,Comedy - Drama,Dark Comedy,Fiction,True Crime,Politics,,,,,
English,Mathematics,Physics,Biology,Thriller,Comedy - Drama,Rom -Com,Suspense,Detective Fiction,True Crime,,,,,,,,,,
English,Mathematics,History,Biology,Thriller,Comedy - Drama,Suspense,,,,,,,,,,,,,
English,Geography,Hindi,Biology,Thriller,Comedy - Drama,Rom -Com,Suspense,,,,,,,,,,,,
Mathematics,Suspense,Detective Fiction,Action,,,,,,,,,,,,,,,,
English,Mathematics,History,Hindi,Marathi,Biology,Thriller,Comedy - Drama,Rom -Com,Science fantasy,Dark Comedy,Suspense,Fiction,Detective Fiction,True Crime,,,,,
English,History,Thriller,Comedy - Drama,Dark Comedy,Detective Fiction,True Crime,,,,,,,,,,,,,
English,Geography,Physics,Thriller,Anime,Science fantasy,Suspense,Action,,,,,,,,,,,,
Mathematics,History,Chemistry,Thriller,Comedy - Drama,Rom -Com,Anime,Science fantasy,Suspense,Fiction,Detective Fiction,,,,,,,,,
Marathi,Biology,Thriller,Science fantasy,Dark Comedy,Suspense,Politics,,,,,,,,,,,,,
Economics,Thriller,Science fantasy,Suspense,,,,,,,,,,,,,,,,
